b'"actual_costs_to_report_date","adopted_budget","amended_budget","available_balance","category","date","date_created","department","project_description","project_id","project_year","spent","subcategory","tax_supported_utilities"
"0","2800000","2800000","2800000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Donald-Notre Dame/Portage","1804100917","2017","0","Streets Renewals","Tax Supported (including Transit)"
"0","82500","82500","82500","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Stair Chairs","2104012017","2017","0",,"Tax Supported (including Transit)"
"0","200000","200000","200000","Community Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Community Facilities","6394000117","2017","0",,"Tax Supported (including Transit)"
"77288.3","11933000","11897661","11820372.7","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Water SCADA Upgrade        MRP","2005100200","2016","0.65",,"Utilities"
"13724500","0","14600000","875500","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Soccer Multiplex/Outdoor Pitch","6253002114","2014","94",,"Tax Supported (including Transit)"
"0","440000","440000","440000","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Consolidation of Stations","2111020016","2016","0",,"Tax Supported (including Transit)"
"0","100000","100000","100000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Tache Promenade","1857002114","2014","0","Community Park Amenities","Tax Supported (including Transit)"
"53277.5","900000","75000","21722.5","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Hurst Pumpng Stn Bldg Repr","2005000711","2011","71.04",,"Utilities"
"0","3659000","3659000","3659000","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Pump Station Reliability Upgrd","2005000317","2017","0",,"Utilities"
"792207.9","850000","850000","57792.1","Pumping Station Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Flood Pumping Station Rehab","2076500114","2014","93.2",,"Tax Supported (including Transit)"
"19454.87","0","35000","15545.13","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF-Webbased process and doc\'s","0400071715","2015","55.59",,"Tax Supported (including Transit)"
"33437.63","2500000","2500000","2466562.37","SW Rapid Tr Corridor","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Rapid Transit Plan & Design","4230010616","2016","1.34",,"Tax Supported (including Transit)"
"2955500.87","3003616","3173854.25","218353.38","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Lane Renewals 16-RL-01 WSP","1806300116","2016","93.12","Street Renewals","Tax Supported (including Transit)"
"3652.83","239000","239000","235347.17","New Recreation and Leisure Facility Equipment Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Fitness Equipment Upgrade Prog","6250000216","2016","1.53",,"Tax Supported (including Transit)"
"89267.57","4802000","2587372","2498104.43","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17-R-06 MMM","1806101217","2017","3.45","Street Renewals","Tax Supported (including Transit)"
"389563.02","500000","499840","110276.98","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Active Transportation Corridor","1832000313","2013","77.94","Active Transportation Facilities","Tax Supported (including Transit)"
"0","100000","100000","100000","Community Centres - Refurbishment and Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Building Asset/Work Management","6390001017","2017","0",,"Tax Supported (including Transit)"
"0","1600000","1600000","1600000","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Landfill Gas Capture Expan","2062000216","2016","0",,"Utilities"
"5014349.09","0","5421000","406650.91","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sturgeon/Murray Rndabt","1804101514","2014","92.5","Streets Renewals","Tax Supported (including Transit)"
"453160.5","500000","500000","46839.5","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Developer Payback - AG 30/12","1807000215","2015","90.63","Developer Paybacks","Tax Supported (including Transit)"
"51826.37","200000","199300","147473.63","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Almey Avenue Closing","1803000414","2014","26","Street Improvements","Tax Supported (including Transit)"
"47977.19","0","100000","52022.81","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF-Open source software","0400021715","2015","47.98",,"Tax Supported (including Transit)"
"199865.88","2600000","2600000","2400134.12","Outfall Gates Structures","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Outfall Gate Structures","2078500216","2016","7.69",,"Tax Supported (including Transit)"
"386994.45","400000","400000","13005.55","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-River Hts-Ft Garry PM","6351960013","2013","96.75",,"Tax Supported (including Transit)"
"5788.8","1686610","1686610","1680821.2","Riverbank Stabilization","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Riverbank Stab/Phys Asset Prot","6351300216","2016","0.34",,"Tax Supported (including Transit)"
"334519.38","635000","335000","480.62","Asset Management Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Teraspan Fibre Ring Renewal","3462200015","2015","99.86",,"Tax Supported (including Transit)"
"83522.64","167000","167000","83477.36","Communications Network Infrastructure","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Print Asset Renewal","3458400016","2016","50.01",,"Tax Supported (including Transit)"
"0","5772000","1076743","1076743","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17-R-05 AECOM","1806101117","2017","0","Street Renewals","Tax Supported (including Transit)"
"545992.12","1000000","1000000","454007.88","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Comminutor Chamber Rehab","2030003016","2016","54.6",,"Utilities"
"0","200000","200000","200000","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Deacon PS Suction Header Valve","2005000916","2016","0",,"Utilities"
"36227.92","150000","150000","113772.08","Land Acquisition","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Land Acquisition - Unspecified","6321100115","2015","24.15",,"Tax Supported (including Transit)"
"947884.4","425000","995000","47115.6","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Machray Park Splash Pad","6393020114","2014","95.26",,"Tax Supported (including Transit)"
"0","0","99000","99000","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","Highfield St/Coniston St/Lawnd","1420214817","2017","0",,"Tax Supported (including Transit)"
"163331.08","905000","901380","738048.92","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Parks - Improvements","1853000115","2015","18.12","Parks Improvements","Tax Supported (including Transit)"
"88878.57","100000","100000","11121.43","Community Centres - Refurbishment and Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","UFF- Hockey Pen Light Standard","6390002016","2016","88.88",,"Tax Supported (including Transit)"
"0","0","109500","109500","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","Kirkdale St/Highfield St/Fernd","1420214917","2017","0",,"Tax Supported (including Transit)"
"0","0","7000","7000","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","SMIR-Safety Impact of Bike Inf","1816010416","2016","0","Asset Management","Tax Supported (including Transit)"
"1560420.83","2000000","2000000","439579.17","Lift Station","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Lift Station Upgrading","2035000115","2015","78.02",,"Utilities"
"76897.36","2581000","2581000","2504102.64","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Louise Bridge (Red River)","1805001414","2014","2.98","Waterway Crossings and Grade Separations Various","Tax Supported (including Transit)"
"0","3550000","3550000","3550000","Transit Building Replacement/Refurbishment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Trn Bldg Roof and Ventil Upgra","4210000517","2017","0",,"Tax Supported (including Transit)"
"25365.63","639036","639036","613670.37","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17/16-R-03B  MMM","1806100317","2017","3.97","Street Renewals","Tax Supported (including Transit)"
"23241750.2","32102000","23249716.2","7966","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Inkster-Keewatin/Brookside   M","1804000508","2008","99.97","Streets Renewals","Tax Supported (including Transit)"
"1658705.21","2000000","2000000","341294.79","Public Safety Radio System","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service/Fire Paramedic Service","Trunk Radio System","2202300015","2015","82.94",,"Tax Supported (including Transit)"
"1428456.58","1500000","1495125","66668.42","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Granular Road-Pipeline","1806101014","2014","95.54","Sidewalk and Curb Repair","Tax Supported (including Transit)"
"0","930000","930000","930000","Customer Information and Billing System","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Customer Billing Upgrade","2010001217","2017","0",,"Utilities"
"0","800000","800000","800000","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sidewalk Renewals Local Street","1806200117","2017","0","Sidewalks","Tax Supported (including Transit)"
"364372.82","1000000","1000000","635627.18","Feedermains","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Feedermain Condition Assessmnt","2004000715","2015","36.44",,"Utilities"
"10700","300000","300000","289300","Library Shelving & Furniture  Replacement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Library Interior Infra Replace","6210000217","2017","3.57",,"Tax Supported (including Transit)"
"1923133.8","2750000","2741063","817929.2","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sherbrook-Maryland/Ellice","1804101314","2014","70.16","Streets Renewals","Tax Supported (including Transit)"
"154124.12","1500000","1655125","1501000.88","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Plessis/Gunn-Intersectn Improv","1804102015","2015","9.31","Streets Renewals","Tax Supported (including Transit)"
"0","0","83633","83633","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF -Council Chamber Video","0400161716","2017","0",,"Tax Supported (including Transit)"
"146829","4114000","4114000","3967171","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Rec Facility New - South Wpg","6253000117","2017","3.57",,"Tax Supported (including Transit)"
"260823.1","900000","900000","639176.9","Outfall Rehabilitation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Outfall Rehabilitation","2078000114","2014","28.98",,"Tax Supported (including Transit)"
"0","5200000","3200000","3200000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Design for Build Canada Fund M","1803000115","2015","0","Streets Renewals","Tax Supported (including Transit)"
"0","200000","200000","200000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Transcona Centennial Pool","1857002314","2014","0","Community Park Amenities","Tax Supported (including Transit)"
"67395875.07","69700000","69373943.73","1978068.66","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Waverley West Arterial Rds   M","1803000110","2010","97.15","Street Improvements","Tax Supported (including Transit)"
"0","400000","400000","400000","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Study Backup Power Hurst","2005001317","2017","0",,"Utilities"
"0","250000","250000","250000","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Computer Assisted Dispatch","2204700017","2017","0",,"Tax Supported (including Transit)"
"87025.26","111500","111500","24474.74","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","Coniston-Asph Conc Ln Pav 16x5","1420212115","2015","78.05",,"Tax Supported (including Transit)"
"24168.74","0","150000","125831.26","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","PC-McPhillips/Corydon/Fort/LSR","1804300314","2014","16.11","Streets Renewals","Tax Supported (including Transit)"
"1657510.77","7185000","7185000","5527489.23","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Chief Peguis Trail-Future Pmnt","1801000217","2017","23.07","New Transportation","Tax Supported (including Transit)"
"27798.9","0","65000","37201.1","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","PC-Corydon/LSR-13-R-02","1804300414","2014","42.77","Streets Renewals","Tax Supported (including Transit)"
"9753883.45","10000000","10471400","717516.55","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Panet Rd / Molson St Twin   M","1803000113","2013","93.15","Street Improvements","Tax Supported (including Transit)"
"1120199.82","1300000","1300000","179800.18","Outfall Gates Structures","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Outfall Gate Structures","2078500215","2015","86.17",,"Tax Supported (including Transit)"
"1528.38","100000","100000","98471.62","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Tyndall Park-Feasibility Study","6362500116","2016","1.53",,"Tax Supported (including Transit)"
"475448.12","310000","489993","14544.88","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Portage-Spence/Young Sidewalk","1804200414","2014","97.03","Sidewalk and Curb Repair","Tax Supported (including Transit)"
"39394.46","250000","250000","210605.54","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Garbage&Recycle Cart Asset Man","2064000217","2017","15.76",,"Utilities"
"0","950000","950000","950000","River Crossing Investigations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Br 1 Aqueduct-Riverbank Stab","2003000917","2017","0",,"Utilities"
"1491720.96","800000","1600000","108279.04","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","William Clement Parkway","1801000414","2014","93.23","New Transportation","Tax Supported (including Transit)"
"722242.31","1050000","1050000","327757.69","Indoor Aquatic Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Indoor Aquatic Facilities","6392000114","2014","68.78",,"Tax Supported (including Transit)"
"0","200000","200000","200000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Regional Pks Investmt Strategy","1859000116","2016","0","Parks Improvements","Tax Supported (including Transit)"
"98566","1000000","1000000","901434","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","CIWMS-Material Recycling Fac","2065001215","2015","9.86",,"Utilities"
"2412355.08","3100000","3089925","677569.92","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Henderson-McLeod/Springfield","1804100514","2014","78.07","Streets Renewals","Tax Supported (including Transit)"
"1001.27","400000","400000","398998.73","NEWPCC","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","NEWPCC HVAC Replacement","2031002614","2014","0.25",,"Utilities"
"900200","965000","965000","64800","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Community Centre Reno Grant","6252000114","2014","93.28",,"Tax Supported (including Transit)"
"63028.81","2050000","736991.31","673962.5","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Pump Station Reliability Upgrd","2005000315","2015","8.55",,"Utilities"
"9790594.67","15423000","15423000","5632405.33","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","CIWMS-4R Wpg Depots        MRP","2065001100","2013","63.48",,"Utilities"
"237594.82","621000","621000","383405.18","Peoplesoft Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Candidate Gateway","3455001016","2016","38.26",,"Tax Supported (including Transit)"
"0","1938000","1938000","1938000","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Station Capital Maintenance","6321000017","2017","0",,"Tax Supported (including Transit)"
"338394.63","525000","523750","185355.37","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Traffic Signals - Jeff & Adsum","1831300115","2015","64.61","Traffic Engineering Improvements","Tax Supported (including Transit)"
"0","1750000","1750000","1750000","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Residential TBO B","1806101717","2017","0","Street Renewals","Tax Supported (including Transit)"
"76148.13","79000","79000","2851.87","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","FifthAve-Asph Conc Ln Pav 14x5","1420213615","2015","96.39",,"Tax Supported (including Transit)"
"104519.66","1500000","1495125","1390605.34","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-07 WSP","1806100816","2016","6.99","Street Renewals","Tax Supported (including Transit)"
"5134468.8","5000000","5361042.35","226573.55","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Residential TBO","1806101615","2015","95.77","Street Renewals","Tax Supported (including Transit)"
"1210070.22","1600000","1594800","384729.78","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Ness E/B-Overland/Rutland","1804102215","2015","75.88","Streets Renewals","Tax Supported (including Transit)"
"1667000","1667000","1667000","0","SW Rapid Tr Corridor","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Jubilee Rapid Tr Station 2013","4230010313","2013","100",,"Tax Supported (including Transit)"
"1426272.34","1800000","1796500","370227.66","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Traffic Engineer Improve     P","1831000115","2015","79.39","Traffic Engineering Improvements","Tax Supported (including Transit)"
"4585.15","300000","300000","295414.85","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Recreation/Aquatics MasterPlan","6253000116","2016","1.53",,"Tax Supported (including Transit)"
"0","100000","100000","100000","NEWPCC","2016-01-31T00:00:00.000","2016-03-10T00:00:00.000","Sewage Disposal Utility","NEWPCC HVAC Replacement","2031002613","2013","0"," ","Utilities"
"0","4303000","4303000","4303000","Computer Automation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Tache Promenade","6361000417","2017","0",,"Tax Supported (including Transit)"
"17616.68","339000","339000","321383.32","Fire/Life Safety Replacement/Asbestos Abatement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Fire/Life Safety/Regulatory","6331000416","2016","5.2",,"Tax Supported (including Transit)"
"3025122.51","3614225","3442479","417356.49","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 14-R-03 AECOM","1806100314","2014","87.88","Street Renewals","Tax Supported (including Transit)"
"111836.75","1200000","1200000","1088163.25","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Regionl&Communty Pks-Bldgs","6318010116","2016","9.32","Community Parks","Tax Supported (including Transit)"
"0","0","4695257","4695257","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17-R-05B AECOM","1806102117","2017","0","Street Renewals","Tax Supported (including Transit)"
"116085.81","500000","500000","383914.19","Interceptors","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Wastewater Hauling/Grease Trap","2040001114","2014","23.22",,"Utilities"
"0","100000","100000","100000","Community Centres - Refurbishment and Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","UFF- Hockey Pen Light Standard","6390002017","2017","0",,"Tax Supported (including Transit)"
"3935520.82","4600000","4658327.36","722806.54","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Parks & Rec Enhancement      P","1857000114","2014","84.48","Community Park Amenities","Tax Supported (including Transit)"
"1386061.83","2050000","2043337.5","657275.67","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Corydon-Niagara/Montrose","1804101716","2016","67.83","Streets Renewals","Tax Supported (including Transit)"
"145135.8","150000","150000","4864.2","Communications Network Infrastructure","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Aerial Imagery Renewal Program","3458100016","2016","96.76",,"Tax Supported (including Transit)"
"193911.35","350000","300000","106088.65","Accessibility","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","City-Wide Accessibility Prog","6390005015","2015","64.64",,"Tax Supported (including Transit)"
"0","400000","400000","400000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Regional Parks","1853000317","2017","0","Parks Improvements","Tax Supported (including Transit)"
"0","0","51360","51360","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF -Facility Advertising Disp","0400151716","2016","0",,"Tax Supported (including Transit)"
"261876.25","0","271428","9551.75","Recreation and Leisure Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Mynarski Ward       P","6399100113","2013","96.48",,"Tax Supported (including Transit)"
"0","500000","500000","500000","Feedermains","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Feeder Main Condition Assessmt","2004000717","2017","0",,"Utilities"
"178388.26","1000000","1026000","847611.74","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-Old Kildonan Ward  PM","6351912113","2013","17.39",,"Tax Supported (including Transit)"
"3861512.69","5608610","4155577.71","294065.02","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 15-R-01 Morrison","1806100215","2015","92.92","Street Renewals","Tax Supported (including Transit)"
"1725001","3000000","3000000","1274999","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","2017 Canada Summer Games     M","0400001614","2014","57.5",,"Tax Supported (including Transit)"
"7812.86","750000","750000","742187.14","Public Water Outlets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Public Water Outlets","2001001713","2013","1.04",,"Utilities"
"26546.72","850000","846600","820053.28","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Parks - Improvements","1853000116","2016","3.14","Parks Improvements","Tax Supported (including Transit)"
"0","59200","59200","59200","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Rescue Equip (Jaws)","2104017017","2017","0",,"Tax Supported (including Transit)"
"110696.12","150000","149400","38703.88","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Hardsurface Upgrading","1856000115","2015","74.09","Pathway/Roadway/Tennis Court Upgrading","Tax Supported (including Transit)"
"3623909.26","3667132","4360213.82","736304.56","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-02 Morrison","1806100316","2016","83.11","Street Renewals","Tax Supported (including Transit)"
"874949.17","2190000","1190000","315050.83","Primary Dike Upgrading","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Primary Dike Upgrading","2070001412","2012","73.53",,"Tax Supported (including Transit)"
"1346878.92","2500000","2100019.45","753140.53","Feedermains","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","North Kildonan Feedermain","2004001115","2015","64.14",,"Utilities"
"43863","162000","162000","118137","Community Centres - Refurbishment and Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Building Asset/Work Management","6390001016","2016","27.08",,"Tax Supported (including Transit)"
"482642.82","500000","499000","16357.18","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Active Transportation Corridor","1832000312","2012","96.72","Active Transportation Facilities","Tax Supported (including Transit)"
"0","550000","550000","550000","Shoal Lake Aqueduct Maintenance","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Aqueduct Asset Preservation","2003000616","2016","0",,"Utilities"
"0","3000000","3000000","3000000","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Waterway Crossing & Grade Sep","1805000117","2017","0","Waterway Crossings and Grade Separations Various","Tax Supported (including Transit)"
"0","300000","300000","300000","Floodplain Mgmt","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Flood Manual Upgrades","2070001215","2015","0",,"Tax Supported (including Transit)"
"6397.08","535000","535000","528602.92","Indoor Aquatic Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Indoor Aquatic Facilities","6392000116","2016","1.2",,"Tax Supported (including Transit)"
"1989073.95","3000000","2640250","651176.05","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Henderson SB-Munroe/Hespeler","1804101315","2015","75.34","Streets Renewals","Tax Supported (including Transit)"
"212883.9","1500000","1500000","1287116.1","Interceptors","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","NE Interceptor River Crossing","2037001515","2015","14.19",,"Utilities"
"117500","200000","118000","500","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Leachate Treatment Study","2060000513","2013","99.58",,"Utilities"
"291861.21","807588","807588","515726.79","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17/16-R-02 Morrison","1806100117","2017","36.14","Street Renewals","Tax Supported (including Transit)"
"595314.08","700000","700000","104685.92","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Zoll Monitor Defibrillators","2104013016","2016","85.04",,"Tax Supported (including Transit)"
"104606.85","200000","200000","95393.15","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Tache Promenade","6351800414","2014","52.3",,"Tax Supported (including Transit)"
"0","22408000","22408000","22408000","Transit Buses","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Transit Buses","4210000217","2017","0",,"Tax Supported (including Transit)"
"1402390.19","1569000","1569000","166609.81","Community Incentive Grant Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Community Incentive Grant Prog","6251000113","2013","89.38",,"Tax Supported (including Transit)"
"0","1500000","1500000","1500000","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Residential TBO C","1806101817","2017","0","Street Renewals","Tax Supported (including Transit)"
"371000.01","600000","371000","-0.01","Riverbank Stabilization","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Riverbnk Stab/Phy Asset Protec","6351300214","2014","100",,"Tax Supported (including Transit)"
